Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,122.0,1.0,122.0,122.0,0.1,115.18400000000003,0.0,0.0,0.009992361068725586,,,,,,,,,,,,,,,,,,,,,53.77604167911198,33.02350935196924,108.84089586598448,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,154.0,2.0,32.0,154.0,0.1,24.096000000000007,0.0,0.0,3.396766424179077,,,,,,,,,,,,,,,,,,,,,10.121886228880484,8.215841764364145,23.819715251463503,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,351.0,3.0,197.0,351.0,0.1,192.00400000000002,0.0,0.0,22.787054300308228,,,,,,,,,,,,,,,,,,,,,89.22675459366303,51.74306742098161,174.77570598130524,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,478.0,4.0,127.0,478.0,0.1,116.45500000000004,0.0,0.0,35.200674057006836,,,,,,,,,,,,,,,,,,,,,54.74597378974241,33.071580168774254,109.72159479670137,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,517.0,5.0,39.0,517.0,0.1,35.00299999999999,0.0,0.0,39.22342371940613,,,,,,,,,,,,,,,,,,,,,16.856603244664655,10.905072155808595,34.414386832736724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,624.0,6.0,107.0,624.0,0.1,100.09500000000003,0.0,0.0,49.57469415664673,,,,,,,,,,,,,,,,,,,,,46.65138045711699,29.221556238933054,95.29379458646686,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,658.0,7.0,34.0,658.0,0.1,26.185000000000006,0.0,0.0,53.11698818206787,,,,,,,,,,,,,,,,,,,,,11.145940488487485,8.838595187298585,25.857727620905624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,785.0,8.0,127.0,785.0,0.1,108.90800000000007,0.0,0.0,65.35786724090576,,,,,,,,,,,,,,,,,,,,,47.19787489684813,32.073818795756885,103.12000678165685,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,830.0,9.0,45.0,830.0,0.1,36.18599999999999,0.0,0.0,69.83903980255127,,,,,,,,,,,,,,,,,,,,,15.805999384040804,11.703833494086224,35.54578605404019,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,912.0,10.0,82.0,912.0,0.1,76.09400000000002,0.0,0.0,77.85629415512085,,,,,,,,,,,,,,,,,,,,,35.78531152685598,22.62216446357183,73.30614343552543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
